,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Sudan,,,-0.008231040410386383,-0.008459760524364975,,,-0.004744601833780645,-0.012176507957332003
Suriname,-0.03451823357570009,0.04490729668650073,-0.02464662094429989,-0.054346639321414,-0.0062267192218913026,0.008652772101283438,-0.02591962095746442,-0.051851461230937534
Swaziland,-0.04492365861034487,-0.039215616119510556,0.016216283103994075,-0.026625457462323487,-0.04231978115273103,-0.045880615175432654,0.007408857275381916,-0.00400665257838533
Sweden,-0.029801328424165448,-0.028987406533421748,0.001114437636259575,0.007320611779867059,-0.030764267527831176,-0.028299415376548703,0.0017058583856332976,0.005905839388938541
Switzerland,-0.0009335901578199048,-0.009413429974307719,-0.000879900094987312,-0.005461406005975214,-0.0036678342004502224,-0.006279223042935845,-0.0005210859305155586,-0.0058931974477998165
Syria,-0.04523473693813727,-0.025026889061627935,-0.005662060065862974,-0.0226153776536009,-0.03595863738658714,-0.02745981922002123,-0.002386579200557011,-0.02563750575497262
Taiwan,0.0012262464294199504,0.01315696056569399,-0.017601456170581568,0.012022557000868756,0.0055002510838484935,0.009849996809769359,-0.01860162143634829,0.012682383510679773
"Tanzania, United Republic of",0.02633558843197303,0.024443964477725347,0.01479561402008172,0.022367678498368012,0.025453384286967584,0.025599122876088808,0.018034645017237002,0.019078978968724385
Thailand,-0.00014066385627313583,-0.004663015445797232,-0.018701316937140684,-0.008815494489159918,-0.00011083694444987395,-0.003103112255540775,-0.02174557616850778,-0.007016911171412175
Togo,-0.02709426949695285,-0.014443720662180604,0.059743776601044095,0.015026946617185892,-0.022757146659511614,-0.01450317207845663,0.06756335177598739,0.013246539528602087
Tonga,0.004284180666076197,0.014832720842868028,,,0.005432918290387361,0.01814184055358503,,
Trinidad and Tobago,0.005583687544699556,0.013893548596773836,0.005292598100286428,-0.011732124338958717,0.009392582826068129,0.013240993787718576,0.006646031912482369,-0.013759129938366208
Tunisia,-0.001922274259978092,-0.003489061311215039,-0.018714333440767523,0.037518903596193545,-0.0035736176909168197,-0.00238596162504719,-0.017461884842521213,0.034187266830224945
Turkey,0.008167148271103328,0.0039535416919136875,0.013820111536627112,0.020900161436581566,0.01056537464061941,0.0027710772004303956,0.014487219136303799,0.01926113923957875
Tuvalu,-0.02087881462430389,0.051216701858648114,,,-0.01334360937111135,0.0417195049172847,,
USSR,,,0.002057304598512697,0.011025416304657745,,,0.008636921189739317,0.006220785857130362
Uganda,-0.011626849974389127,0.01188195631715104,-0.0028308572868336233,-0.013934050348754421,-0.005567843009485336,0.005602088367855189,-0.0033189531286981324,-0.01207156240881047
Ukraine,0.002501183138290445,0.02691262966242946,0.005003414613179956,0.01413352573954615,0.005566333156041761,0.019524876084264405,0.0026538419881475604,0.015244416364189408
United Arab Emirates,,,0.011249011846166395,0.013926047841651377,,,0.013619877293978021,0.011423394239084035
United Kingdom,-0.0017735480980341871,0.001611090699134554,0.019456242222585053,0.008593755818525934,-0.003341767955866073,0.0035177296143434687,0.02030068141528083,0.007559116112168569
United States,0.010680153050883691,0.005533444670828981,-0.005603837145778434,-0.004847728329884064,0.013689539043031093,0.003154693629667188,-0.0045165422994517725,-0.006633655600609541
Uruguay,-0.004975339342111145,-0.0009618871013142343,-0.01827364032682641,-0.0053238721479013295,-0.00600828341830069,-0.0011510785545725758,-0.02149073030103171,-0.0035984658394258547
